u_total,v_total,w_total
0.06346206,0.04537616,-0.26105607
0.076245815,0.041182306,-0.27930537
0.09048426,0.03501985,-0.29580787
0.10614642,0.026884262,-0.31020728
0.123145565,0.01688206,-0.32221878
0.14136551,0.0052215983,-0.33167565
0.16064072,-0.0077801514,-0.33852455
0.18076204,-0.02170958,-0.34283644
0.20148548,-0.036079008,-0.3448033
0.22251207,-0.050333798,-0.34472445
0.2435329,-0.063909315,-0.34298775
0.26421174,-0.076246336,-0.34003824
0.28420925,-0.08683259,-0.33634192
0.30316913,-0.09522105,-0.3323532
0.32076803,-0.10107547,-0.32846984
0.3367042,-0.10417617,-0.32500213
0.3507144,-0.10443238,-0.3221442
0.36258993,-0.10188062,-0.3199512
0.37217125,-0.09668018,-0.31833485
0.37937734,-0.089088775,-0.31705806
0.38419423,-0.07944144,-0.31575322
0.38668028,-0.06812079,-0.31394273
0.38696393,-0.05552392,-0.31107032
0.3852378,-0.042049646,-0.30654332
0.3817516,-0.02805156,-0.29976836
0.37679848,-0.01383448,-0.2901966
0.37070328,0.0003598223,-0.2773612
0.3638054,0.014361515,-0.2609065
0.35645285,0.028052965,-0.2406341
0.34897327,0.041386936,-0.21649094
0.34167004,0.054356694,-0.18859364
0.33480516,0.06699088,-0.15721063
0.32859796,0.07932481,-0.12278673
0.32320583,0.09140966,-0.085862115
0.31872773,0.103287905,-0.047078762
0.31520227,0.11498876,-0.0071342327
0.31260931,0.12652814,0.03327033
0.31087676,0.13789244,0.07342148
0.30988517,0.14905943,0.11270602
0.30947936,0.15998544,0.15059489
0.3094796,0.17060986,0.18668215
0.30969426,0.18085921,0.22071144
0.30993187,0.19063374,0.2525424
0.31001416,0.19982645,0.28220758
0.30978826,0.20830745,0.30985463
0.309137,0.21592674,0.3357319
0.3079873,0.22251461,0.36016083
0.30631933,0.22787525,0.38346785
0.30416822,0.23180187,0.4059866
0.30162767,0.23407426,0.42798683
0.29884908,0.23447022,0.4496446
0.2960373,0.23277557,0.47101873
0.2934485,0.22880112,0.49200556
0.29137754,0.22239411,0.5123666
0.29015148,0.21345502,0.53170687
0.2901179,0.201946,0.5494991
0.2916327,0.18791813,0.5650885
0.29504657,0.17149702,0.5777543
0.3006933,0.15290017,0.5867276
0.3088761,0.13243206,0.5912343
0.31985915,0.11047155,0.59053355
0.33384126,0.087487474,0.5839525
0.35096556,0.063984185,0.5709165
0.3712967,0.04050916,0.5509664
0.39481562,0.017627478,0.52377427
0.42142105,-0.004106732,0.48913535
0.45089146,-0.024144268,0.44701365
0.4829303,-0.042000078,0.3974709
0.5171336,-0.057244595,0.34069878
0.553,-0.06952411,0.27700105
0.58994704,-0.07857458,0.20676267
0.6272738,-0.08421848,0.13053288
0.66424036,-0.08638544,0.0488951
0.7000387,-0.08509952,-0.03744772
0.73383147,-0.08047706,-0.12771666
0.76473314,-0.07272633,-0.22093984
0.7918964,-0.062129363,-0.31611255
0.81449586,-0.04903423,-0.41208708
0.83176285,-0.0338407,-0.50760126
0.843016,-0.016979955,-0.6013185
0.8476721,0.0010797307,-0.6917313
0.8452862,0.019879282,-0.7773625
0.83555615,0.038963255,-0.85668606
0.8183361,0.05789744,-0.92820007
0.7936355,0.07628651,-0.99049574
0.7616526,0.09376035,-1.0422367
0.7227247,0.11001529,-1.0823276
0.67734474,0.124795854,-1.1098853
0.6261411,0.13790259,-1.1243035
0.56984156,0.14919613,-1.1252856
0.5093203,0.15858197,-1.1128699
0.44547302,0.16602927,-1.087443
0.37925923,0.17155218,-1.0497284
0.31166184,0.17520985,-1.0007721
0.24364363,0.17710195,-0.94189066
0.17620774,0.1773616,-0.87470526
0.110253185,0.17615336,-0.80098194
0.046640366,0.17366473,-0.7226428
-0.013863876,0.17009825,-0.6416634
-0.07052602,0.16566934,-0.56011254
-0.122766785,0.16058992,-0.4799407
-0.17009586,0.15506454,-0.40302467
-0.21213405,0.14927894,-0.33109263
-0.24862638,0.14338857,-0.2656629
-0.27939954,0.1375179,-0.20808703
-0.3044236,0.1317422,-0.15940316
-0.32375973,0.12609059,-0.12040185
